student_id,minutes_watched,paid_in_q2
151903,17.7,0
151919,2.18,0
151933,0.08,0
151935,2.63,0
151938,0.13,0
152009,115.67,0
152032,0.18,0
152059,0.65,0
152092,0.68,0
152133,10.77,0
152135,0.12,0
152142,5.42,0
152152,0.25,0
152158,0.98,0
152188,46.82,0
152189,22.45,0
152196,2.15,0
152198,6.12,0
152200,0.43,0
152225,2.55,0
152227,1.22,0
152241,148.25,0
152242,8.75,0
152262,3.5,0
152322,6.98,0
152330,47.48,0
152338,0.9,0
152339,0.45,0
152344,52.63,0
152354,5.93,0
152390,53.38,0
152399,1.7,0
152401,17.38,0
152410,0.1,0
152414,3.03,0
152438,5.48,0
152441,1.93,0
152443,0.5,0
152473,3.23,0
152476,41.42,0
152491,1.22,0
152492,0.77,0
152513,23.18,0
152545,0.2,0
152553,20.58,0
152556,1.78,0
152581,0.15,0
152585,1.53,0
152589,53.22,0
152590,11.67,0
152592,0.08,0
152605,2.23,0
152607,4.62,0
152612,1.88,0
152613,1.52,0
152631,0.72,0
152652,59.8,0
152655,4.88,0
152666,29.22,0
152673,1.07,0
152682,0.58,0
152688,11.05,0
152693,0.98,0
152708,0.08,0
152714,65.07,0
152717,0.07,0
152735,0.3,0
152751,34.48,0
152761,2.03,0
152775,0.5,0
152780,0.62,0
152785,0.47,0
152791,71.83,0
152812,0.08,0
152816,0.83,0
152820,8.45,0
152823,132.77,0
152827,72.4,0
152846,52.98,0
152849,18.07,0
152888,5.95,0
152899,0.12,0
152905,1.6,0
152909,0.28,0
152923,11.97,0
152957,0.45,0
152960,44.8,0
152963,0.15,0
152972,5.37,0
152976,57.52,0
152985,0.05,0
152998,0.15,0
153014,15.15,0
153033,19.85,0
153034,0.52,0
153037,8.78,0
153039,0.1,0
153042,5.93,0
153055,66.05,0
153071,4.92,0
153082,0.12,0
153089,0.3,0
153092,5.6,0
153104,35.43,0
153112,4.55,0
153119,2.37,0
153138,5.4,0
153143,0.38,0
153144,10.25,0
153152,37.6,0
153177,35.1,0
153198,1.42,0
153202,6.05,0
153225,10.03,0
153227,0.82,0
153256,0.05,0
153258,3.6,0
153261,0.32,0
153274,72.9,0
153305,3.62,0
153313,59.33,0
153316,0.42,0
153326,0.28,0
153328,27.42,0
153332,0.17,0
153341,6.05,0
153343,2.72,0
153348,0.85,0
153353,3.43,0
153356,71.48,0
153389,4.75,0
153428,6.22,0
153440,3.58,0
153474,0.77,0
153476,17.23,0
153510,65.15,0
153515,14.83,0
153529,1.02,0
153530,1.43,0
153556,0.05,0
153557,4.55,0
153583,0.05,0
153595,0.33,0
153608,0.25,0
153620,297.25,0
153657,0.33,0
153660,56.92,0
153674,0.87,0
153676,2.77,0
153678,2.63,0
153690,0.22,0
153707,97.97,0
153732,98.25,0
153734,0.05,0
153736,0.5,0
153742,61.18,0
153745,92.8,0
153768,0.05,0
153791,74.53,0
153800,0.17,0
153813,0.12,0
153814,7.68,0
153819,27.42,0
153827,6.05,0
153853,0.9,0
153860,2.43,0
153875,4.35,0
153887,1.57,0
153899,18.28,0
153908,9.58,0
153923,63.68,0
153927,3.77,0
153929,67.73,0
153936,8.42,0
153951,0.1,0
153961,24.25,0
153965,9.02,0
153966,18.88,0
153969,0.05,0
153980,0.58,0
153989,12.5,0
153991,33.72,0
154011,0.37,0
154039,19.98,0
154053,1.6,0
154064,0.63,0
154068,7.87,0
154075,72.03,0
154077,13.93,0
154079,11.83,0
154087,4.15,0
154088,0.07,0
154100,17.83,0
154105,59.07,0
154135,0.52,0
154136,0.35,0
154140,0.08,0
154147,43.68,0
154148,7.85,0
154150,0.37,0
154154,1148.6,0
154157,0.4,0
154168,8.5,0
154170,0.8,0
154199,79.73,0
154200,0.05,0
154205,1.87,0
154209,20.62,0
154218,6.48,0
154244,1.42,0
154247,0.05,0
154252,9.93,0
154259,80.77,0
154260,0.12,0
154264,19.48,0
154267,0.15,0
154296,0.38,0
154329,0.58,0
154355,7.1,0
154390,10.02,0
154393,1.52,0
154395,8.02,0
154399,37.98,0
154415,120.55,0
154471,2.28,0
154472,31.02,0
154476,58.4,0
154480,0.87,0
154492,0.62,0
154500,0.05,0
154518,0.37,0
154541,16.55,0
154572,0.5,0
154596,6.07,0
154599,0.48,0
154616,0.47,0
154617,0.8,0
154627,1.82,0
154645,20.53,0
154648,0.93,0
154662,70.32,0
154664,26.83,0
154669,0.05,0
154679,59.45,0
154695,0.47,0
154768,2.37,0
154813,30.92,0
154827,0.57,0
154837,18.83,0
154849,0.05,0
154872,3.78,0
154898,0.33,0
154901,0.77,0
154925,64.42,0
154927,0.12,0
154945,0.25,0
155003,1.83,0
155026,6.42,0
155033,27.07,0
155064,0.12,0
155071,7.07,0
155082,5.2,0
155085,0.67,0
155097,5.08,0
155113,54.1,0
155128,41.9,0
155134,45.38,0
155150,11.17,0
155155,1.47,0
155204,0.18,0
155217,4.2,0
155225,0.82,0
155240,0.72,0
155257,69.7,0
155259,18.13,0
155264,10.37,0
155269,0.6,0
155278,6.0,0
155287,0.38,0
155300,22.32,0
155340,13.23,0
155364,2.27,0
155382,1.1,0
155389,2.25,0
155399,2.17,0
155424,50.9,0
155447,1.58,0
155453,0.12,0
155471,1.02,0
155502,70.87,0
155505,29.28,0
155515,9.23,0
155526,58.6,0
155531,62.4,0
155532,2.05,0
155537,42.18,0
155542,5.87,0
155557,6.05,0
155562,6.08,0
155575,18.83,0
155576,82.6,0
155578,0.32,0
155589,67.43,0
155611,0.05,0
155615,0.33,0
155639,0.67,0
155640,798.45,0
155660,0.08,0
155676,0.08,0
155679,39.12,0
155685,2.73,0
155695,6.03,0
155710,0.13,0
155760,11.62,0
155763,68.13,0
155806,0.8,0
155807,9.23,0
155828,2.27,0
155857,1.85,0
155866,28.22,0
155900,40.33,0
155920,1.25,0
155921,4.52,0
155923,0.7,0
155932,58.97,0
155940,55.42,0
155942,0.37,0
155971,45.07,0
155989,34.97,0
156025,101.25,0
156048,5.6,0
156054,4.88,0
156074,4.48,0
156090,1.17,0
156093,1.55,0
156143,3.22,0
156147,11.88,0
156149,42.35,0
156151,0.57,0
156153,2.75,0
156158,71.98,0
156172,0.5,0
156178,11.45,0
156179,6.88,0
156181,0.57,0
156186,0.88,0
156197,19.13,0
156203,0.93,0
156221,1.87,0
156265,3.8,0
156266,0.2,0
156270,0.98,0
156275,1.48,0
156278,2.05,0
156287,92.58,0
156301,13.38,0
156308,0.07,0
156312,0.05,0
156321,22.97,0
156340,0.05,0
156349,10.27,0
156352,4.7,0
156357,75.08,0
156364,2.58,0
156366,1.4,0
156367,0.07,0
156371,0.1,0
156376,6.43,0
156383,0.18,0
156385,1.12,0
156393,0.12,0
156401,0.33,0
156403,4.88,0
156411,10.65,0
156420,9.4,0
156424,77.47,0
156433,0.08,0
156456,0.4,0
156465,50.82,0
156496,0.22,0
156500,0.45,0
156509,2.33,0
156513,0.07,0
156525,16.2,0
156528,0.75,0
156533,0.18,0
156535,0.22,0
156538,75.48,0
156539,50.28,0
156546,0.25,0
156553,0.25,0
156562,0.4,0
156571,1.13,0
156575,47.63,0
156586,2.93,0
156591,22.57,0
156594,39.33,0
156602,3.15,0
156609,22.08,0
156621,18.03,0
156630,0.38,0
156637,0.18,0
156663,0.08,0
156706,0.33,0
156726,0.05,0
156732,0.18,0
156733,1.05,0
156734,114.92,0
156749,1.5,0
156754,75.22,0
